# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0.37026298	0.89687955	-1.0172526e-10	0.08800001	0	0
0	0.37368193	0.89542717	-4.863739e-10	0.088999994	0	0
0	0.37709782	0.89396125	2.0345052e-10	0.09	0	0
0	0.3805102	0.89248186	1.0172526e-10	0.09099999	0	0
0	0.3839198	0.89098865	-1.0172526e-10	0.092	0	0
0	0.38732606	0.88948196	-1.2874603e-10	0.092999995	0	0
0	0.39072913	0.8879617	-2.6702882e-10	0.094	0	0
0	0.39412922	0.8864277	0	0.09499999	0	0
0	0.3975254	0.8848801	2.0345052e-10	0.096	0	0
0	0.40091854	0.8833187	1.0172526e-10	0.097	0	0
0	0.40430832	0.88174385	0	0.098	0	0
0	0.40769506	0.8801549	2.0345052e-10	0.098999985	0	0
0	0.41107833	0.8785522	2.0345052e-10	0.1	0	0
0	0.41445836	0.8769356	1.2079875e-10	0.10100001	0	0
0	0.41783494	0.87530524	2.0345052e-10	0.102	0	0
0	0.42120808	0.8736609	-2.0345052e-10	0.102999985	0	0
0	0.42457786	0.87200266	3.8146972e-10	0.104	0	0
0	0.42794412	0.8703305	-1.0808309e-10	0.105	0	0
0	0.43130702	0.8686443	-1.0172526e-10	0.10599999	0	0
0	0.43466645	0.866944	9.536743e-11	0.10700001	0	0
0	0.4380226	0.86522955	-2.9563904e-10	0.108	0	0
0	0.44137484	0.8635012	-3.6239625e-10	0.109	0	0
0	0.44472328	0.86175895	-1.0172526e-10	0.11	0	0
0	0.4480687	0.8600021	-1.3351441e-10	0.111	0	0
0	0.45141062	0.858231	-3.0517577e-10	0.112	0	0
0	0.45474827	0.85644615	2.0345052e-10	0.113	0	0
0	0.45808265	0.85464674	1.8437704e-10	0.114	0	0
0	0.46141344	0.8528329	-8.583069e-11	0.115	0	0
0	0.46474025	0.8510049	2.9563904e-10	0.11599999	0	0
0	0.4680633	0.8491627	0	0.117	0	0
0	0.4713825	0.84730613	7.311503e-11	0.118000016	0	0
0	0.47469848	0.8454346	1.4623006e-10	0.119	0	0
0	0.47801027	0.84354895	-2.0345052e-10	0.11999999	0	0
0	0.48131797	0.8416489	1.14440915e-10	0.121	0	0
0	0.4846221	0.83973396	6.357829e-11	0.122000016	0	0
0	0.48792192	0.8378049	0	0.123	0	0
0	0.49121806	0.8358609	-2.9563904e-10	0.12399999	0	0
0	0.49451032	0.8339022	6.1035155e-10	0.125	0	0
0	0.4977985	0.83192885	1.5894572e-10	0.12600002	0	0
0	0.50108224	0.8299411	-6.1035155e-10	0.127	0	0
0	0.50436246	0.82793796	1.8437704e-10	0.128	0	0
0	0.5076382	0.8259204	1.5258789e-10	0.129	0	0
0	0.5109097	0.8238881	1.1126201e-10	0.13	0	0
0	0.5141772	0.8218407	3.0517577e-10	0.131	0	0
0	0.5174401	0.81977874	-2.0345052e-10	0.13199998	0	0
0	0.52069896	0.81770146	1.0172526e-10	0.133	0	0
0	0.52395374	0.8156091	-5.086263e-10	0.13400002	0	0
0	0.527204	0.8135018	3.7193298e-10	0.13500002	0	0
0	0.5304495	0.81137973	3.0517577e-10	0.13600002	0	0
0	0.5336908	0.8092423	-1.0172526e-10	0.13699998	0	0
0	0.5369274	0.80709	1.27156575e-11	0.138	0	0
0	0.5401599	0.804922	1.0172526e-10	0.139	0	0
0	0.54338807	0.80273896	-4.196167e-10	0.14	0	0
0	0.546611	0.80054075	-1.2397766e-10	0.141	0	0
0	0.5498291	0.79832727	4.0690104e-10	0.142	0	0
0	0.55304265	0.7960985	0	0.143	0	0
0	0.5562517	0.793854	-3.0517577e-10	0.144	0	0
0	0.55945575	0.7915945	3.0517577e-10	0.14499998	0	0
0	0.562655	0.78931916	-5.086263e-11	0.146	0	0
0	0.5658489	0.7870289	2.7338665e-10	0.14700001	0	0
0	0.56903815	0.7847229	1.4623006e-10	0.148	0	0
0	0.57222575	0.7823987	8.455912e-10	0.149	0	0
0	0.5754018	0.78006357	6.1035155e-10	0.15	0	0
0	0.5785756	0.7777107	3.0517577e-10	0.15100001	0	0
0	0.581745	0.7753414	-3.0517577e-10	0.152	0	0
0	0.58490837	0.7729572	1.0172526e-10	0.15299998	0	0
0	0.58806705	0.7705566	1.0172526e-10	0.154	0	0
0	0.5912197	0.76814073	0	0.15500002	0	0
0	0.5943677	0.76570857	-1.0808309e-10	0.15600002	0	0
0	0.5975101	0.7632604	0	0.157	0	0
0	0.6006458	0.76079744	-2.7338665e-10	0.158	0	0
0	0.6037771	0.7583174	5.086263e-10	0.159	0	0
0	0.60690206	0.7558219	2.7974448e-10	0.16	0	0
0	0.61002135	0.7533103	1.0172526e-10	0.16099998	0	0
0	0.61313516	0.7507824	2.2888183e-10	0.162	0	0
0	0.6162437	0.748238	-1.0172526e-10	0.16300002	0	0
0	0.6193455	0.7456778	1.27156575e-11	0.16400002	0	0
0	0.6224409	0.7431019	1.7166138e-10	0.165	0	0
0	0.62553084	0.74050915	4.0690104e-10	0.166	0	0
0	0.62861407	0.73790085	-8.138021e-10	0.167	0	0
0	0.6316914	0.7352758	8.9009605e-11	0.168	0	0
0	0.63476247	0.7326345	1.0045369e-09	0.169	0	0
0	0.6378274	0.7299765	-1.6530355e-10	0.16999999	0	0
0	0.64088553	0.7273024	2.924601e-10	0.171	0	0
0	0.64393777	0.72461146	-1.0172526e-10	0.172	0	0
0	0.64698195	0.72190523	6.1035155e-10	0.173	0	0
0	0.6500204	0.71918154	4.0690104e-10	0.17399998	0	0
0	0.653052	0.71644145	1.411438e-09	0.175	0	0
0	0.6560765	0.713685	3.1789144e-11	0.17600001	0	0
0	0.6590943	0.71091175	-2.5431315e-10	0.177	0	0
0	0.6621051	0.7081217	1.27156575e-11	0.17799999	0	0
0	0.6651084	0.70531565	5.086263e-11	0.179	0	0
0	0.66810465	0.7024925	-1.0553995e-09	0.18	0	0
0	0.67109364	0.6996527	4.5776366e-10	0.18099998	0	0
0	0.67407453	0.69679695	1.2079875e-10	0.18199998	0	0
0	0.677049	0.6939234	5.2134197e-10	0.183	0	0
0	0.6800146	0.69103396	1.2207031e-09	0.184	0	0
0	0.68297315	0.6881273	-5.5948896e-10	0.18500002	0	0
0	0.6859239	0.68520385	6.3578287e-10	0.18599999	0	0
0	0.6888668	0.6822636	-5.086263e-10	0.187	0	0
0	0.6918014	0.6793067	6.3578287e-10	0.188	0	0
0	0.6947271	0.6763334	-2.2888183e-10	0.18900001	0	0
0	0.6976451	0.673343	-3.0517577e-10	0.18999998	0	0
0	0.70055526	0.67033523	1.1698404e-09	0.191	0	0
0	0.70345604	0.66731143	1.9073486e-10	0.192	0	0
0	0.70634866	0.66427046	-1.0172526e-10	0.19300002	0	0
0	0.7092324	0.66121227	7.629394e-11	0.19400002	0	0
0	0.71210736	0.6581374	1.2715658e-10	0.195	0	0
0	0.714973	0.65504616	2.5431315e-11	0.196	0	0
0	0.71782976	0.6519377	-4.83195e-10	0.19700001	0	0
0	0.7206767	0.6488129	-6.357829e-11	0.19799997	0	0
0	0.7235151	0.64567024	3.6875408e-10	0.19899999	0	0
0	0.7263437	0.64251107	1.0172526e-10	0.2	0	0
0	0.7291628	0.639335	2.2888183e-10	0.20100002	0	0
0	0.7319717	0.6361426	-3.814697e-11	0.20200002	0	0
0	0.7347709	0.632933	1.0172526e-10	0.203	0	0
0	0.7375596	0.6297072	-4.83195e-10	0.204	0	0
0	0.7403388	0.62646383	-2.6702882e-10	0.20500001	0	0
0	0.7431069	0.62320447	-7.629394e-11	0.20599997	0	0
0	0.7458652	0.6199274	3.8146972e-10	0.20699999	0	0
0	0.7486126	0.61663395	6.230672e-10	0.208	0	0
0	0.75134844	0.613325	-6.3578287e-10	0.209	0	0
0	0.75407445	0.6099975	2.5431315e-11	0.21	0	0
0	0.7567887	0.6066545	-1.7801921e-10	0.21099998	0	0
0	0.7594914	0.6032953	-3.0517577e-10	0.21199998	0	0
0	0.76218307	0.5999187	-1.0172526e-09	0.21300001	0	0
0	0.76486295	0.59652615	-2.2888183e-10	0.21400002	0	0
0	0.76753086	0.5931172	1.27156575e-11	0.21499997	0	0
0	0.77018744	0.58969104	-9.6639e-10	0.216	0	0
0	0.7728314	0.5862491	-2.6702882e-10	0.217	0	0
0	0.77546346	0.5827905	-6.230672e-10	0.218	0	0
0	0.77808267	0.579316	1.0426839e-09	0.21900003	0	0
0	0.78068906	0.5758256	-1.3987224e-10	0.22	0	0
0	0.78328305	0.5723182	3.4332276e-10	0.221	0	0
0	0.7858637	0.5687955	-3.0517577e-10	0.222	0	0
0	0.78843117	0.5652567	-8.138021e-10	0.22299998	0	0
0	0.7909854	0.5617018	2.5431315e-10	0.224	0	0
0	0.7935263	0.5581304	-3.306071e-10	0.225	0	0
0	0.7960538	0.55454236	5.086263e-11	0.226	0	0
0	0.798566	0.5509416	-6.357829e-11	0.22700003	0	0
0	0.8010648	0.54732335	-7.1207684e-10	0.228	0	0
0	0.8035496	0.5436889	2.7974448e-10	0.229	0	0
0	0.8060189	0.5400408	-1.3987224e-10	0.23	0	0
0	0.8084746	0.53637534	4.83195e-10	0.23099998	0	0
0	0.8109153	0.53269434	8.6466473e-10	0.232	0	0
0	0.81334054	0.52899903	4.704793e-10	0.233	0	0
0	0.8157502	0.52528834	-1.5258789e-10	0.234	0	0
0	0.81814504	0.521562	6.1035155e-10	0.235	0	0
0	0.8205228	0.5178223	1.7801921e-10	0.23600003	0	0
0	0.82288605	0.51406544	6.866455e-10	0.237	0	0
0	0.8252326	0.5102945	2.5431315e-10	0.238	0	0
0	0.8275632	0.5065079	2.924601e-10	0.23899998	0	0
0	0.82987726	0.5027068	-7.3750817e-10	0.23999998	0	0
0	0.8321746	0.49889058	-1.0426839e-09	0.241	0	0
0	0.834455	0.4950595	-7.3750817e-10	0.242	0	0
0	0.83671856	0.4912138	-6.993612e-10	0.243	0	0
0	0.8389653	0.48735178	7.629394e-11	0.24400003	0	0
0	0.84119403	0.48347625	7.629394e-11	0.245	0	0
0	0.8434052	0.47958574	-2.2888183e-10	0.246	0	0
0	0.8455989	0.4756797	1.1952718e-09	0.247	0	0
0	0.8477748	0.4717577	9.409586e-10	0.24799998	0	0
0	0.8499322	0.46782213	-1.6530355e-10	0.249	0	0
0	0.85207164	0.46387017	-3.5603842e-10	0.25	0	0
0	0.85419273	0.4599027	-1.7801921e-10	0.251	0	0
0	0.8562952	0.4559198	-9.6639e-10	0.25200003	0	0
0	0.85837895	0.4519207	-3.8146972e-10	0.253	0	0
0	0.86044383	0.44790605	-1.0172526e-10	0.254	0	0
0	0.8624896	0.4438749	1.3987224e-09	0.255	0	0
0	0.8645167	0.43982625	6.7392986e-10	0.256	0	0
0	0.8665244	0.43576053	-1.6530355e-10	0.257	0	0
0	0.86851263	0.43167794	1.1316935e-09	0.258	0	0
0	0.8704821	0.42757517	-6.3578287e-10	0.259	0	0
0	0.8724313	0.42345616	-5.086263e-11	0.26	0	0
0	0.87436146	0.419316	-2.5431315e-10	0.26100004	0	0
0	0.8762718	0.41515636	1.8819173e-09	0.262	0	0
0	0.8781624	0.41097605	6.866455e-10	0.263	0	0
0	0.8800329	0.40677443	-1.7801921e-10	0.26399997	0	0
0	0.88188416	0.40254897	7.8837076e-10	0.265	0	0
0	0.8837154	0.39829993	7.1207684e-10	0.266	0	0
0	0.8855273	0.39402413	-5.2134197e-10	0.267	0	0
0	0.88731873	0.3897243	2.2888183e-10	0.26800004	0	0
0	0.8890906	0.38539565	-4.9591065e-10	0.26900002	0	0
0	0.8908429	0.3810368	0	0.27000004	0	0
0	0.8925746	0.37664965	2.7974448e-10	0.271	0	0
0	0.89428717	0.3722266	-8.9009605e-10	0.27200004	0	0
0	0.8959802	0.36776796	4.9591065e-10	0.27299997	0	0
0	0.8976529	0.36327448	5.086263e-10	0.27399996	0	0
0	0.89930624	0.3587405	1.1698404e-09	0.275	0	0
0	0.9009403	0.3541626	3.8146972e-10	0.276	0	0
0	0.9025547	0.34954	5.849202e-10	0.27700004	0	0
0	0.9041499	0.34486827	1.7801921e-09	0.278	0	0
0	0.90572554	0.34014574	5.3405763e-10	0.279	0	0
0	0.907285	0.3353507	-1.5258789e-10	0.28	0	0
0	0.9088229	0.33050844	-1.5258789e-09	0.281	0	0
0	0.9103397	0.32561392	-1.7293295e-09	0.282	0	0
0	0.91184074	0.32063267	-1.5513102e-09	0.283	0	0
0	0.9133239	0.31557074	-5.086263e-11	0.284	0	0
0	0.9147891	0.3104221	8.138021e-10	0.28500003	0	0
0	0.916238	0.3051698	1.5258789e-10	0.286	0	0
0	0.9176707	0.2998051	1.5258789e-09	0.287	0	0
0	0.91908884	0.29430702	-2.5431315e-10	0.288	0	0
0	0.92049366	0.28865406	1.6021728e-09	0.289	0	0
0	0.9218876	0.28281155	1.7293295e-09	0.28999996	0	0
0	0.9232743	0.27673155	2.2888183e-10	0.291	0	0
0	0.9246575	0.27035314	4.83195e-10	0.292	0	0
0	0.9260474	0.2635463	9.155273e-10	0.293	0	0
0	0.9274575	0.2561173	-1.0172526e-10	0.29400003	0	0
0	0.92892635	0.24756594	7.8837076e-10	0.295	0	0
0	0.930585	0.23617513	5.086263e-11	0.296	0	0
0	0.93349856	2.4140778e-05	-8.5194907e-10	0.29699996	0	0
0	0.93409795	1.38887535e-05	9.536743e-11	0.298	0	0
0	0.9346942	7.830149e-06	4.736582e-10	0.29899997	0	0
0	0.9352874	4.5595807e-06	3.6239625e-10	0.3	0	0
0	0.93587697	2.6283774e-06	-3.496806e-10	0.301	0	0
0	0.936463	1.4921061e-06	3.6557515e-10	0.30200002	0	0
0	0.93704593	9.238688e-07	-1.7293295e-09	0.30300003	0	0
0	0.93762565	5.486043e-07	-1.8437704e-10	0.304	0	0
0	0.9382015	3.1300863e-07	5.5631e-10	0.305	0	0
0	0.93877393	1.7125447e-07	1.27156575e-11	0.30599996	0	0
0	0.93934387	1.0375977e-07	2.1966298e-09	0.307	0	0
0	0.93990916	4.9438476e-08	2.8610229e-11	0.308	0	0
