# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0.18515101	0.9272275	1.9073486e-10	0.099	0	0
0	0.187845	0.92539334	-1.0172526e-10	0.1	0	0
0	0.19063954	0.9234546	5.086263e-11	0.10100001	0	0
0	0.19357088	0.92137575	-4.1007994e-10	0.102	0	0
0	0.19669525	0.91910106	1.0172526e-10	0.102999985	0	0
0	0.20010753	0.9165355	-2.5510788e-10	0.104	0	0
0	0.20389114	0.9135896	8.2651774e-11	0.105	0	0
0	0.20784907	0.91044086	-2.7974448e-10	0.10599999	0	0
0	0.21154992	0.9075098	2.8610229e-11	0.10700001	0	0
0	0.21492615	0.9048751	1.3987224e-10	0.108	0	0
0	0.2180872	0.9024374	-5.086263e-11	0.109	0	0
0	0.22111519	0.90011966	7.4704486e-11	0.11	0	0
0	0.22405969	0.897875	3.7670136e-10	0.111	0	0
0	0.22695081	0.8956746	-2.0980835e-10	0.112	0	0
0	0.22980924	0.8934984	-3.814697e-11	0.113	0	0
0	0.23264727	0.8913349	4.3233236e-10	0.114	0	0
0	0.23547453	0.8891746	-1.2715658e-10	0.115	0	0
0	0.2382986	0.88701	-7.629394e-11	0.116	0	0
0	0.24112524	0.8848354	1.8437704e-10	0.117	0	0
0	0.24395825	0.8826471	3.1471253e-10	0.118000016	0	0
0	0.24680154	0.8804411	-3.973643e-12	0.119	0	0
0	0.2496587	0.87821394	1.2715658e-10	0.11999999	0	0
0	0.25253215	0.8759628	1.9073486e-10	0.121	0	0
0	0.25542495	0.87368476	-2.5431315e-11	0.122000016	0	0
0	0.25833872	0.87137794	-9.536743e-11	0.123	0	0
0	0.26127666	0.869039	-1.5894572e-11	0.12399999	0	0
0	0.26424003	0.8666665	4.4504803e-11	0.125	0	0
0	0.26723152	0.86425763	7.629394e-11	0.12600002	0	0
0	0.27025202	0.86181116	-2.2888183e-10	0.127	0	0
0	0.2733045	0.85932386	4.7683715e-11	0.128	0	0
0	0.27639186	0.8567926	1.4940897e-10	0.129	0	0
0	0.27951327	0.8542181	1.5258789e-10	0.13	0	0
0	0.28267387	0.8515948	4.196167e-10	0.131	0	0
0	0.2858728	0.8489232	-2.5431315e-11	0.13199998	0	0
0	0.28911635	0.84619665	-7.629394e-11	0.133	0	0
0	0.29240292	0.8434164	7.629394e-11	0.13400002	0	0
0	0.2957363	0.8405785	-4.5776366e-10	0.13500002	0	0
0	0.2991195	0.8376792	1.6530355e-10	0.13600002	0	0
0	0.30255494	0.8347156	-1.5258789e-10	0.13699998	0	0
0	0.30604398	0.83168614	-1.5258789e-10	0.138	0	0
0	0.30959168	0.8285849	1.5258789e-10	0.139	0	0
0	0.31320035	0.8254093	0	0.14	0	0
0	0.31687215	0.82215637	-1.14440915e-10	0.141	0	0
0	0.32061216	0.8188205	-5.086263e-11	0.142	0	0
0	0.32442367	0.8153973	2.0345052e-10	0.143	0	0
0	0.32831138	0.8118818	-5.086263e-11	0.144	0	0
0	0.3322783	0.8082699	-2.5431315e-11	0.14499998	0	0
0	0.33633047	0.80455464	0	0.146	0	0
0	0.34047186	0.8007311	-4.5776366e-10	0.14700001	0	0
0	0.34470814	0.7967927	-5.086263e-10	0.148	0	0
0	0.34904647	0.7927309	-2.0345052e-10	0.149	0	0
0	0.3534915	0.78853977	-1.0172526e-10	0.15	0	0
0	0.35805196	0.7842094	-2.5431315e-11	0.15100001	0	0
0	0.36273375	0.77973217	-2.5431315e-11	0.152	0	0
0	0.3675489	0.77509415	-1.5258789e-10	0.15299998	0	0
0	0.3725034	0.77028793	-1.0172526e-10	0.154	0	0
0	0.37760928	0.76529896	1.5258789e-10	0.15500002	0	0
0	0.38287795	0.760114	0	0.15600002	0	0
0	0.3883204	0.7547193	0	0.157	0	0
0	0.39395478	0.74909353	1.0172526e-10	0.158	0	0
0	0.3997931	0.74322206	4.5776366e-10	0.159	0	0
0	0.40585834	0.7370776	0	0.16	0	0
0	0.4121656	0.73064154	3.306071e-10	0.16099998	0	0
0	0.41874555	0.7238777	2.0345052e-10	0.162	0	0
0	0.425621	0.7167583	-1.0172526e-10	0.16300002	0	0
0	0.4328232	0.70924616	5.086263e-10	0.16400002	0	0
0	0.440389	0.7012966	0	0.165	0	0
0	0.44836384	0.69285554	4.0690104e-10	0.166	0	0
0	0.45680094	0.68385935	-2.5431315e-10	0.167	0	0
0	0.4657595	0.67423666	-1.0172526e-10	0.168	0	0
0	0.4753199	0.66389126	5.086263e-11	0.169	0	0
0	0.48557135	0.6527163	3.0517577e-10	0.16999999	0	0
0	0.49664256	0.6405578	1.0172526e-10	0.171	0	0
0	0.5086796	0.6272403	-1.5258789e-10	0.172	0	0
0	0.52189314	0.6125118	3.5603842e-10	0.173	0	0
0	0.53656286	0.59603727	4.5776366e-10	0.17399998	0	0
0	0.5531041	0.57731956	-4.0690104e-10	0.175	0	0
0	0.5721395	0.55561376	2.5431315e-10	0.17600001	0	0
0	0.5947026	0.5296826	1.0172526e-10	0.177	0	0
0	0.6228188	0.49710304	5.086263e-11	0.17799999	0	0
0	0.66128325	0.45213598	2.0345052e-10	0.179	0	0
0	0.7280695	0.37323087	4.5776366e-10	0.18	0	0
0	0.79872817	0.2890558	4.5776366e-10	0.18099998	0	0
0	0.82385457	0.25910574	-6.4849853e-10	0.18199998	0	0
0	0.83855444	0.24161932	5.086263e-11	0.183	0	0
0	0.8492414	0.22893097	5.086263e-10	0.184	0	0
0	0.8578002	0.21878625	1.0172526e-10	0.18500002	0	0
0	0.8650287	0.2102307	4.0690104e-10	0.18599999	0	0
0	0.87135166	0.20275615	3.5603842e-10	0.187	0	0
0	0.8770154	0.1960681	-6.1035155e-10	0.188	0	0
0	0.88218737	0.18996635	9.155273e-10	0.18900001	0	0
0	0.8869772	0.18432	3.973643e-10	0.18999998	0	0
0	0.8914664	0.17903182	-5.5948896e-10	0.191	0	0
0	0.89572394	0.17401952	-5.086263e-11	0.192	0	0
0	0.8998049	0.16921817	1.5258789e-10	0.19300002	0	0
0	0.90375894	0.16456872	1.0935466e-09	0.19400002	0	0
0	0.90764165	0.16000588	9.6639e-10	0.195	0	0
0	0.9115206	0.15545	1.27156575e-11	0.196	0	0
0	0.9154903	0.15079075	-3.0517577e-10	0.19700001	0	0
0	0.9196975	0.14585797	0	0.19799997	0	0
0	0.9246071	0.14011036	-2.5431315e-10	0.19899999	0	0
0	0.9983948	1.6712029e-07	1.3796488e-09	0.2	0	0
0	0.9983973	1.0712942e-09	-1.505216e-09	0.20100002	0	0
0	0.9984	7.78834e-11	-5.086263e-11	0.20200002	0	0
0	0.9984024	-4.2915345e-11	-9.727478e-10	0.203	0	0
